Document ID,Petitioner,Petitioner_Category,Denial_Reason,Rationale_Depth
FDA-2016-P-4388-0013,FDA CDER to Dr  S  Varghese,Other,Other/Unspecified,Highly detailed
FDA-2016-P-3356-0018,FDA CDER to Sandoz Inc,Industry,Premature/Pending other action,Highly detailed
FDA-2016-P-2955-0088,FDA CBER to Nicholas Isel Redacted,Other,Other/Unspecified,Highly detailed
FDA-2016-P-2558-0019,CDER to Similasan Corp,Industry,Premature/Pending other action,Highly detailed
FDA-2016-P-1398-0004,Dr  Hooman Noorchashm,Other,Other/Unspecified,Highly detailed
FDA-2016-P-2737-0144,Natural Resources Defense,Other,Premature/Pending other action,Highly detailed
FDA-2016-P-1169-0015,,Unknown,Other/Unspecified,Brief
FDA-2016-P-2955-0339,,Unknown,Procedural issue,Brief
FDA-2016-P-1171-0017,FDA CFSAN to Earthjusti,Other,Enforcement discretion,Highly detailed
FDA-2016-P-2029-0027,,Unknown,Procedural issue,Moderately detailed
FDA-2016-P-2515-0027,,Unknown,Premature/Pending other action,Highly detailed
FDA-2016-P-1249-0004,FDA CDER to,Other,Other/Unspecified,Moderately detailed
FDA-2016-P-3195-0004,CDRH  to Wood  Herron   Evans,Other,Enforcement discretion,Minimal
FDA-2016-P-0134-0007,FDA CVM to Internation,Other,Other/Unspecified,Moderately detailed
FDA-2016-P-4591-0003,FDA CDER to   Hyman  P,Other,Moot/Withdrawn,Highly detailed
FDA-2016-P-2738-0004,FDA CDER to Metaboli,Other,Other/Unspecified,Highly detailed
FDA-2016-P-1946-0008,FDA CDER to Hyman  Phelps,Other,Premature/Pending other action,Highly detailed
FDA-2016-P-1246-0007,FDA DDM to the Working Group,Other,Other/Unspecified,Highly detailed
FDA-2016-P-0214-0008,FDA CBER to Public Citizen,Public Interest,Premature/Pending other action,Highly detailed
FDA-2016-P-1169-0005,,Unknown,Other/Unspecified,Moderately detailed
FDA-2016-P-1955-0009,FDA CDER to Mallinckro,Industry,Premature/Pending other action,Highly detailed
FDA-2016-P-0159-0006,the FDA CDRH to Biorex Labs LLC,Industry,Other/Unspecified,Highly detailed
FDA-2016-P-3509-0003,CDER,Other,Other/Unspecified,Highly detailed
FDA-2016-P-3968-0137,the International Pro,Other,Enforcement discretion,Moderately detailed
FDA-2016-P-1133-0003,Fox Rothschild LLP,Other,Procedural issue,Moderately detailed
FDA-2016-P-1485-0007,,Unknown,Premature/Pending other action,Highly detailed
FDA-2016-P-0187-0015,,Unknown,Premature/Pending other action,Highly detailed
FDA-2017-P-6411-0010,FDA CDER to Insys Th,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-4939-0006,FDA CDRH to Chul Hi Park Re,Other,Procedural issue,Highly detailed
FDA-2017-P-3196-0071,CFSAN to Philip Spiller  et,Other,Other/Unspecified,Brief
FDA-2017-P-5787-0242,FDA CDER to Post Finast,Other,Procedural issue,Highly detailed
FDA-2017-P-3330-0006,,Unknown,Enforcement discretion,Moderately detailed
FDA-2017-P-3251-0031,CDER to Petitioner   redacted R,Other,Other/Unspecified,Minimal
FDA-2017-P-4334-0042,FDA to Sidley Austin LLP,Other,Premature/Pending other action,Moderately detailed
FDA-2017-P-6918-0022,FDA CDER to St  Jude Children,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-3468-0005,FDA CDER to Teligent P,Other,Moot/Withdrawn,Highly detailed
FDA-2017-P-6663-0014,FDA CDRH to Dr   Albert Edwa,Other,Enforcement discretion,Brief
FDA-2017-P-0867-0107,FDA CBER to Public Citi,Other,Other/Unspecified,Highly detailed
FDA-2017-P-4586-0004,FDA CDER to Jubilant,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-4575-0202,Unilever for a 1 year Extension,Other,Other/Unspecified,Brief
FDA-2017-P-3196-0074,Philip Spill,Other,Procedural issue,Highly detailed
FDA-2017-P-3684-0004,FDA to Goodwin Procter,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-5477-0014,FDA CDER to Hyman Phel,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-2733-0006,FDA CDER to Esophageal Cancer,Other,Other/Unspecified,Highly detailed
FDA-2017-P-4352-0017,FDA CDER to E  Thompson,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-4575-0198,Unilever for a 1 year Extension,Other,Other/Unspecified,Brief
FDA-2017-P-6750-0008,FDA CDER to Mylan N V,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-4335-0004,FDA CDRH to William Bonificio,Other,Other/Unspecified,Moderately detailed
FDA-2017-P-6689-0013,FDA CDER to Arnall G,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-4575-0196,Unilever for a 1 year Extension,Other,Other/Unspecified,Brief
