Docket ID,Petition_Doc,Response_Doc,Response_Days,Within_180
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0028,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0029,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0030,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0031,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0032,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0033,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0034,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0035,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0025,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0026,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0027,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0028,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0029,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0030,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0031,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0032,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0033,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0034,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0014,FDA-2007-P-0118-0035,743,False
FDA-2007-P-0118,FDA-2007-P-0118-0015,FDA-2007-P-0118-0025,734,False
FDA-2007-P-0118,FDA-2007-P-0118-0015,FDA-2007-P-0118-0026,734,False
FDA-2007-P-0118,FDA-2007-P-0118-0015,FDA-2007-P-0118-0027,734,False
FDA-2007-P-0118,FDA-2007-P-0118-0015,FDA-2007-P-0118-0028,734,False
