Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2007-P-0119-0003,FDA-2007-P-0119,"Cancer Prevention Coalition, et al - Citizen Petition",2/20/07,,CVM,"Cancer Prevention Coalition, Et Al",Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0119-0007,FDA-2007-P-0119,Citizen Petition Denial Response from FDA CDER to the Cancer Prevention Coalition et al,,3/21/16,CVM,"Cancer Prevention Coalition, Et Al",Final Response,Denied,Denied,Initial Petition,False
FDA-2007-P-0120-0002,FDA-2007-P-0120,"HiFi DNA Tech, LLC - CCP Change in Classification Petition",8/13/07,,CDRH,"HiFi DNA Tech, LLC",Petition,No response,No response,Other Document,True
FDA-2007-P-0121-0002,FDA-2007-P-0121,"Emcure Pharmaceuticals USA, Inc. - Citizen Petition",7/22/07,,CDER,"Emcure Pharmaceuticals Usa, Inc.",Petition,No response,No response,Other Document,False
FDA-2007-P-0123-0002,FDA-2007-P-0123,"United Research Laboratories, Inc., Mutual Pharmaceutical Company, Inc. - Citizen Petition",11/29/07,,CDER,"United Research Laboratories, Inc., Mutual Pharmaceutical Company, Inc.",Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0123-0009,FDA-2007-P-0123,"FDA Response to Mutual Pharmaceutical Company, Inc. - Petition Denial",,4/17/08,CDER,"United Research Laboratories, Inc., Mutual Pharmaceutical Company, Inc.",Final Response,Denied,Denied,Initial Petition,False
FDA-2007-P-0124-0003,FDA-2007-P-0124,"Lachman Consultant Services, Inc. - Citizen Petition",3/26/07,,CDER,"Lachman Consultant Services, Inc.",Petition,Approved,Approved,Correspondence,False
FDA-2007-P-0124-0007,FDA-2007-P-0124,"Letter from CDER to Lachman Consultant Services, Inc",,11/14/16,CDER,"Lachman Consultant Services, Inc.",Final Response,Approved,Approved,Initial Petition,False
FDA-2007-P-0125-0002,FDA-2007-P-0125,"Lachman Consultant Services, Inc. - Citizen Petition",7/8/07,,CDER,"Lachman Consultant Services, Inc.",Petition,Withdrawn,Withdrawn,Other Document,False
FDA-2007-P-0126-0003,FDA-2007-P-0126,"Akorn-Strides, LLC - Citizen Petition",4/27/07,,CDER,"Akorn-Strides, Llc",Interim Response,No response,No response,Other Document,False
